0, -91.22675037741843, 111.5 
0, -87.76170699538393, 150.39175 
0, -89.9225168090912, 189.2835 
0, -92.01687126674264, 228.17525 
0, -88.32890607124133, 267.067 
0, -83.67169286446682, 305.95875 
0, -66.98218149610551, 344.8505 
0, -47.694408375656195, 383.74225 
1, -100.13149409115208, 111.5 
1, -95.43727181596782, 150.39175 
1, -97.66431806325895, 189.28350000000003 
1, -99.71604760149602, 228.17525000000006 
1, -105.11028762121772, 267.06700000000006 
1, -93.24213849575887, 305.95875000000007 
1, -71.39755909387378, 344.8505000000001 
1, -50.43453399208757, 383.7422500000001 
2, -107.70702762948763, 111.5 
2, -104.8616616543143, 150.39175 
2, -110.94540802841996, 189.2835 
2, -114.92745049947293, 228.17525 
2, -122.13309596904979, 267.067 
2, -117.27913437026079, 305.95875 
2, -87.34749266906479, 344.8505 
2, -57.874073898487005, 383.74225 
3, -113.26208924128693, 111.5 
3, -108.6862402417723, 150.39175 
3, -115.08108709835525, 189.28350000000003 
3, -121.68670269024781, 228.17525000000006 
3, -129.7619468941619, 267.06700000000006 
3, -140.98542507455932, 305.95875000000007 
3, -134.7773255054936, 344.8505000000001 
3, -78.22915224568351, 383.7422500000001 
4, -108.23976674193138, 111.5 
4, -105.64836744403392, 150.39175 
4, -117.02691402103379, 189.2835 
4, -129.31923483482103, 228.17525 
4, -140.61683207073176, 267.067 
4, -148.2613293155431, 305.95875 
4, -148.26132931554315, 344.8505 
4, -148.2613293155432, 383.74225 
5, -96.20249160866615, 111.5 
5, -96.25244101624861, 150.39175 
5, -110.41308384478411, 189.2835 
5, -126.0681724566443, 228.17525 
5, -136.48063666792808, 267.067 
5, -142.01056996539666, 305.95875 
5, -149.6734122177508, 344.8505 
5, -131.54620717822021, 383.74225 
6, -79.45122136892311, 111.5 
6, -80.25816123630591, 150.39175 
6, -92.65962445514162, 189.2835 
6, -107.45815827656648, 228.17525 
6, -118.30515176920606, 267.067 
6, -122.19324982441486, 305.95875 
6, -116.13483897767436, 344.8505 
6, -94.877112367794, 383.74225 
7, -67.77759018894386, 111.5 
7, -66.47552529317969, 150.39175 
7, -77.62599910715781, 189.28350000000003 
7, -88.22348208526063, 228.17525000000006 
7, -92.01738537702141, 267.06700000000006 
7, -88.16542502172888, 305.95875000000007 
7, -81.90463718408628, 344.8505000000001 
7, -65.31657341704391, 383.7422500000001 
8, -60.876340946706165, 111.5 
8, -59.17018962479014, 150.39175 
8, -70.24541275323745, 189.2835 
8, -75.81876471489207, 228.17525 
8, -78.15109893111295, 267.067 
8, -76.55905675516175, 305.95875 
8, -69.30855346940285, 344.8505 
8, -58.15400410621071, 383.74225 
9, -67.65775818515469, 111.5 
9, -66.43925665483434, 150.39175000000003 
9, -77.2781741047547, 189.28350000000006 
9, -87.70377448968847, 228.17525000000006 
9, -91.38434767370907, 267.0670000000001 
9, -87.63552214700405, 305.9587500000001 
9, -80.45123481023009, 344.8505000000001 
9, -64.71575056565499, 383.7422500000002 
10, -79.30873423041803, 111.5 
10, -80.37468703205144, 150.39175 
10, -93.35231327912629, 189.28350000000003 
10, -108.46690388822114, 228.17525000000006 
10, -118.77074942075622, 267.06700000000006 
10, -123.24790717171007, 305.95875000000007 
10, -116.36815677235516, 344.8505000000001 
10, -94.26826864299014, 383.7422500000001 
11, -95.03095547807185, 111.5 
11, -96.79916117501526, 150.39175 
11, -112.09546995839655, 189.2835 
11, -128.0801488574962, 228.17525 
11, -138.45521318537178, 267.067 
11, -143.6401916027499, 305.95875 
11, -150.672503458547, 344.8505 
11, -133.28276769398695, 383.74225 
12, -107.41966023854067, 111.5 
12, -106.92885090218041, 150.39175 
12, -119.4297913067785, 189.2835 
12, -131.72212027024017, 228.17525 
12, -143.0204554022941, 267.067 
12, -149.7098826444149, 305.95875 
12, -149.7098826444149, 344.8505 
12, -149.7098826444149, 383.74225 
13, -112.05742005711733, 111.5 
13, -109.52088957737053, 150.39175 
13, -117.08333929918358, 189.2835 
13, -123.74216749428716, 228.17525 
13, -131.8096481976551, 267.067 
13, -142.81953152158195, 305.95875 
13, -135.69332133785332, 344.8505 
13, -78.65593383199973, 383.74225 
14, -106.63091103136075, 111.5 
14, -104.678281662488, 150.39175 
14, -111.93077840839739, 189.2835 
14, -116.49274762284952, 228.17525 
14, -123.20304257978293, 267.067 
14, -117.44066851297167, 305.95875 
14, -87.57165386404986, 344.8505 
14, -58.485357616461144, 383.74225 
15, -100.07185978028927, 111.5 
15, -95.46393531358044, 150.39175 
15, -97.65376533668653, 189.28350000000003 
15, -99.71380383660889, 228.17525000000006 
15, -104.70997525136664, 267.06700000000006 
15, -93.13792061465563, 305.95875000000007 
15, -71.55614212392238, 344.8505000000001 
15, -50.694444321100065, 383.7422500000001 
